Id,Portfolio Dept?,Title,Portfolio,Classification,Type of Body,GFS Sector Classification,Materiality,Description,Established By / Under,Established by/Under More Info,Creation Date,GFS Function / Sector Reported,PS Act Body,Average Staffing Level (ASL),Max Number of Board / Committee Members,Paid Members?,Board / Committee Appointed by,Board / Committee Appointed More Info,Annual Report Prepared and Tabled?,Auditor,Auditor Other,ABN,Parent Organisation,Parent Board / Non-Board Title,Total Appropriations ($000),Total Departmental Expenses ($000),Head Office Street Address,Head Office Suburb,Head Office State,Head Office Postcode,Head Office Country,Website Address,Strategic/Corporate/Organisational Plan,Annual Reports,Budget Documentation
B-002192,,Dairy Australia Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Dairy Australian Limited is the declared industry-owned body that invests in marketing and research and development services for the benefit of the dairy industry. The company was declared, on 1 July 2003, by the then Minister for Agriculture, Fisheries and Forestry, as the industry services body and has a statutory funding agreement under which it receives industry levies and matching funds from the Australian Government. Dairy Australia Limited has a board of nine directors who are appointed by members.",Act / Regulation,"Dairy Produce Act 1986, s13",1/07/2003,,,,,,,,Yes,Deloitte,,60 105 227 987,"Department of Agriculture, Fisheries and Forestry",,,,"Level 5, IBM Centre, 60 City Road",Southbank,VIC,3006,Australia,http://www.dairyaustralia.com.au/,http://www.dairyaustralia.com.au/Industry-information/About-Dairy-Australia/Publications-2/Strategic-Plan.aspx,http://www.dairyaustralia.com.au/Industry-information/About-Dairy-Australia/Publications-2/Annual-Reports.aspx,
B-002196,,Sugar Research Australia Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Sugar Research Australia (SRA) invests in and manages a portfolio of research, development and extension projects that drive productivity, profitability and sustainability for the Australian sugarcane industry. An industry-owned company, SRA are funded by a statutory levy paid by grower and milling businesses. SRA also receives matching funds from the Australian Government and grants from the Queensland Government and other bodies.",Act / Regulation,"Sugar Research and Development Services Act 2013, s9(1)",1/07/2013,,,,,,,,"Yes, but not tabled",KPMG,,16 163 670 068,"Department of Agriculture, Fisheries and Forestry",,,,50 Meiers Rd,Indooroopilly,QLD,4068,Australia,http://www.sugarresearch.com.au/,http://www.sugarresearch.com.au/page/About_SRA/Corporate_publications/,http://www.sugarresearch.com.au/page/About_SRA/Corporate_publications/,
B-002157,,Forest and Wood Products Council,"Agriculture, Fisheries and Forestry",B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Forest and Wood Products Council (FWPC) is a statutory council under the Regional Forest Agreements Act 2002. The FWPC is the vehicle being used to deliver the Government's Forest Industry Advisory Council. Members will provide informative consultation and recommendations on proposed legislation and policies impacting on the industry. Members have a broad range of forestry expertise and are well-placed to inform government about key issues impacting the sector. The councillors come from a range of sectors within the forestry industry and community, including sawmilling, private forestry, plantations, wood product importers, and manufacturers.",Act / Regulation,Regional Forest Agreements Act 2002,2/11/2000,,,,12,No,Prime Minister,,,,,,"Department of Agriculture, Fisheries and Forestry",,,,18 Marcus Clarke St,Canberra,ACT,2600,Australia,http://www.agriculture.gov.au/forestry/industries/fwpc,,,
B-002181,,Statutory Fishing Rights Allocation Review Panel,"Agriculture, Fisheries and Forestry",B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Statutory Fishing Rights Allocation Review Panel (SFRARP) reviews the merits of administrative decisions made by the Australian Fisheries Management Authority. The panel consists of the principal member and up to five other members, appointed by the Minister for Agriculture and Water Resources. The Department of Agriculture and Water Resources provides the Registry support for SFRARP.",Act / Regulation,Fisheries Management Act 1991,2/07/1991,,,,6,Yes,Ministerial,,,,,,"Department of Agriculture, Fisheries and Forestry",,,,18 Marcus Clarke Street,Canberra,ACT,2601,Australia,http://www.agriculture.gov.au/sfrarp,,,
B-002193,,Forest and Wood Products Australia Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Forest and Wood Products Australia Limited (FWPA) is a not-for-profit company that provides national, integrated research and development services to the Australian forest and wood products industry. FWPA are committed to helping the forest and wood products industry to be collaborative, innovative, sustainable and competitive against other industries and products available in the marketplace. The company was declared, on 3 September 2007, by the then Minister for Agriculture, Fisheries and Forestry, to be the industry services body under section 11 of the Forestry Marketing and Research and Development Services Act 2007 (the Act). FWPA has a statutory funding agreement, under which it receives industry levies and matching funds from the Australian Government, and is subject to ministerial direction in certain circumstances under section 13 of the Act.",Act / Regulation,"Forestry Marketing and Research and Development Services Act 2007, s11(1)",20/08/2007,,,,,,,,"Yes, but not tabled",Other,Crowe Horwath,75 127 114 185,"Department of Agriculture, Fisheries and Forestry",,,,"Level 11, 10-16 Queen Street",Melbourne,VIC,3000,Australia,http://www.fwpa.com.au/,http://www.fwpa.com.au/about-us/corporate-documents.html,http://www.fwpa.com.au/about-us/corporate-documents.html,
B-002166,,National Committee for Land Use and Management Information,"Agriculture, Fisheries and Forestry",B. Secondary,G. Ministerial Councils and Related Bodies including those Established by the COAG,,,"The National Committee for Land Use and Management Information coordinates the development of consistent land use, land cover, ground cover and land management practice data and information products through the Australian Collaborative Land Use and Management Program. Membership includes officials from each state and territory as well as Commonwealth organisations.",Agreement / Treaty / Council Order,Memorandums of Understanding between the Australian Government and each state and territory government,1/07/1999,,,,,,,,,,,,"Department of Agriculture, Fisheries and Forestry",,,,18 Marcus Clarke Street,Canberra City,ACT,2601,Australia,http://www.agriculture.gov.au/abares/aclump/about-aclump,,,
B-002167,,National Committee on Soil and Terrain,"Agriculture, Fisheries and Forestry",B. Secondary,H. Inter Jurisdictional and International Bodies,,,"The National Committee on Soil and Terrain (NCST) is a national coordinating committee, which provides national leadership, coordination, direction and advocacy for matters relating to soil and terrain. The NCST provides a national forum to discuss and exchange views and information and plays a key role in developing an agreed framework and national standards for soil and terrain assessment. It also encourages capacity building in soil and terrain matters within Government agencies, educational institutions and the community. Committee membership includes representatives from Australian, state and territory government agencies with responsibility for soil and land management.",Principal Body / Management Board / Senior Executive Officer,,1/07/1992,,,,,,,,,,,,"Department of Agriculture, Fisheries and Forestry",,,,GPO Box 858,Canberra,ACT,2601,Australia,http://www.clw.csiro.au/aclep/contacts.htm,,,
B-002168,,National Forest Inventory Steering Committee,"Agriculture, Fisheries and Forestry",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The National Forest Inventory Steering Committee (NFISC) guides the National Forest Inventory, which is a partnership between the Commonwealth and state and territory governments ""to be the authoritative source of information for national and regional monitoring and reporting to support decision making on all of Australia's forests"". The NFISC consists of representative from each state and territory plus a representative from the Australian Government Department of Agriculture and Water Resources. The NFISC reports to the Forestry and Forest Products Committee (FFPC) as a subordinate body that supports FFPC.","Committee, Council, Board, Forum",Forestry and Forest Products Committee (FFPC),1/11/1988,,,,,,,,,,,,"Department of Agriculture, Fisheries and Forestry",,,,,,,,,,,,
B-002169,,National Rural Advisory Council,"Agriculture, Fisheries and Forestry",B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The National Rural Advisory Council (NRAC) provides advice and information to the Minister for Agriculture and Water Resources on rural adjustment; regional issues; training; and, any other matters at the Minister's request. Under the Rural Adjustment Act 1992, NRAC may consist of up to eight members with experience and knowledge relevant to Australian agriculture: - A chairperson - An officer of the Australian Government Department of Agriculture and Water Resources - A state or territory representative - A National Farmers' Federation representative - Up to four members with expertise in economics, financial administration, banking, sustainable agriculture, regional adjustment, regional development, farm management or training.",Act / Regulation,Rural Adjustment Act 1992,1/12/1999,,,,,,,,Yes,,,,"Department of Agriculture, Fisheries and Forestry",,,,18 Marcus Clarke Street,Canberra,ACT,2601,Australia,http://www.agriculture.gov.au/agriculture-food/drought/nrac,,http://www.agriculture.gov.au/agriculture-food/drought/nrac,
B-002194,,Horticulture Innovation Australia Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Horticulture Innovation Australia Limited (HIAL) is a not-for-profit, grower-owned research and development company. It works in partnership with Australia's horticulture industries to invest in research, development and marketing programmes that provide benefit to industry and the wider community. HIAL was declared on 25 November 2014, by the then Minister for Agriculture as the industry services body under subsection 9(1) of the Horticulture Marketing and Research and Development Services Act 2000. The company has a statutory funding agreement, under which it receives levies from industry and matching funds from the Australian Government, and is subject to ministerial direction in certain circumstances under section 29 of the Act. A board of nine directors is appointed by members.",Act / Regulation,"Horticulture Marketing and Research and Development Services Act 2000, s9(1)",25/11/2014,,,,,,,,"Yes, but not tabled",Ernst & Young,,71 602 100 149,"Department of Agriculture, Fisheries and Forestry",,,,"Level 8, 1 Chifley Square",Sydney,NSW,2000,Australia,http://www.horticulture.com.au/,http://www.horticulture.com.au/about-2/,http://www.horticulture.com.au/about-2/,http://www.horticulture.com.au/levy-industry-financial-statements/
B-002195,,Meat and Livestock Australia Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Meat and Livestock Australia Limited (MLA) delivers marketing and research programmes for Australia's cattle, sheep and goat producers. MLA has over 47,500 livestock producer members who have stakeholder entitlements in the company. MLA is primarily funded by transaction levies paid on livestock sales by producers. The Australian Government also contributes a dollar for each dollar MLA spends in research and development. This is supplemented by cooperative contributions from individual processors, wholesalers, food service operators and retailers. Processors and live animal exporters also pay levies under contract to MLA. The company is subject to ministerial direction in certain circumstances under section 69 of the Australian Meat and Live-Stock Industry Act 1997. MLA is not the only beneficiary of transaction levies; it is one of three organisations, including Animal Health Australia and the National Residue Survey, that receive a proportion of the funds. MLA has a board of 11 directors, appointed by members.",Act / Regulation,"Australian Meat and Live-Stock Industry Act 1997, s60(1) and s60(2)",18/02/1998,,,,,,,,"Yes, but not tabled",Ernst & Young,,39 081 678 364,"Department of Agriculture, Fisheries and Forestry",,,,"Level 1, 40 Mount Street",North Sydney,NSW,2060,Australia,http://www.mla.com.au/Home,http://www.mla.com.au/About-MLA/Planning-and-reporting/Corporate-documents,http://www.mla.com.au/About-MLA/Planning-and-reporting/Annual-reporting,
B-002176,,SAFEMEAT,"Agriculture, Fisheries and Forestry",B. Secondary,H. Inter Jurisdictional and International Bodies,,,"SAFEMEAT is a partnership between the red meat and livestock industry and the state and federal Governments of Australia. This partnership ensures that Australian red meat and livestock products achieve the highest standards of safety and hygiene from the farm to the consumer. SAFEMEAT initiates research and development, develops communication linkages, monitors the status of Australia's products, reviews standards and examines emerging issues that could have future impacts on the industry. The SAFEMEAT secretariat is undertaken by the Australian Government Department of Agriculture and Water Resources. Funding for the secretariat is provided by Meat and Livestock Australia Ltd. The SAFEMEAT Partnership members currently are: - Chair - Australian Dairy Farmers Ltd - The Australian Government Department of Agriculture - Australian Livestock Exporters' Council - Australian Lot Feeders' Association - Australian Meat Industry Council - Cattle Council of Australia - Department of Environment and Primary Industries Victoria (representing State/Territory Agriculture Departments) - Safe Food Queensland (representing State/Territory Meat Industry Authorities) - Sheepmeat Council of Australia - Australian Pork Limited - Goat Industry Council of Australia Observers: - Animal Health Australia - Australian Livestock and Property Agents Association Limited - Meat and Livestock Australia - Wool Producers Australia - Australian Livestock Marketing Association - Dairy Australia",Other,SAFEMEAT is a partnership between the red meat and livestock industry and the state and federal governments,1/07/1998,,,,,,,,Yes,,,,"Department of Agriculture, Fisheries and Forestry",,,,18 Marcus Clarke Street,Canberra,ACT,2601,Australia,http://safemeat.com.au/,,,
B-002187,,Australian Egg Corporation Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"The Australian Egg Corporation Limited (Australian Eggs) is an industry services body or provider of marketing and research and development (R&D) services for the benefit of all stakeholders, principally egg producers. Australian Eggs is mainly funded through statutory levies, collected under the Egg Industry Service Provision Act 2002 and Australian Government funds for the purposes of 'approved' R&D. Australian Eggs is a public, non-listed company and was registered with the Australian Securities and Investments Commission on 18 November 2002 and commenced operations on 1 February 2003. The framework for Australian Eggs operations is established by the Act, the funding agreement with the Australian Government and the company's constitution. Australian Eggs services Australian egg producers irrespective of their size, location or farming system who distribute a wide variety of eggs and egg products to the local and international market. Australian Eggs is not an industry representative body.",Act / Regulation,"Egg Industry Service Provision Act 2002, s6",18/11/2002,,,,,,,,"Yes, but not tabled",Other,BDO East Coast Partnership,66 102 859 585,"Department of Agriculture, Fisheries and Forestry",,,,"Suite 602, Level 6, 132 Arthur Street",North Sydney,NSW,2060,Australia,https://www.australianeggs.org.au/,https://www.australianeggs.org.au/who-we-are/,https://www.australianeggs.org.au/who-we-are/annual-reports/,
B-002188,,Australian Livestock Export Corporation Ltd,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Australian Livestock Export Corporation Ltd (LiveCorp) was declared under the Australian Meat and Live-stock Industry Act (1997) (AMLI Act) as the live-stock export marketing body and the live-stock export research body for the Australian livestock export industry on 17 December 2004, with effect from 1 January 2005. LiveCorp was incorporated as a national, member-funded public company on 18 February 1998, and was declared as a donor company under the AMLI Act on 7 July 1998, with effect from that date. Its mission is to enhance the productivity, sustainability and competitiveness of Australia's livestock export industry by undertaking RDandE, providing technical support/services, and monitoring and reporting on programs and issues. The LiveCorp board is accountable to its members through the Corporations Act 2001 and to the Minister for Agriculture through the SFA 2010-14 for the expenditure of monies appropriated by Parliament.",Act / Regulation,"Australian Meat and Live-Stock Industry Act 1997, s60(3) and s60(3A)",24/04/1998,,,,,,,,Yes,Other,Nexia Australia,88 082 408 740,"Department of Agriculture, Fisheries and Forestry",,,,"Level 1, 40 Mount Street",North Sydney,NSW,2060,Australia,https://www.livecorp.com.au/,https://www.livecorp.com.au/livecorp-information,https://www.livecorp.com.au/annual-reports,
B-002177,,Scientific Advisory Group,"Agriculture, Fisheries and Forestry",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Scientific Advisory Group is a high-level group which may be asked to examine or provide comment on any aspect of a Biosecurity Import Risk Analysis (BIRA), under the Biosecurity Regulation 2016. This includes examining or providing comment on issues that have arisen during the development of a BIRA. Standing members of the group will include a chair, an economist and a person experienced in risk analysis. Outside of the standing members, the composition of the group will be decided depending on the BIRA to be conducted. The Scientific Advisory Group will be established upon commencement of a BIRA. Once established, the Scientific Advisory Group will replace the Eminent Scientists Group.",Act / Regulation,Biosecurity Act 2015,16/06/2016,,,,,,,,,,,,"Department of Agriculture, Fisheries and Forestry",,,,c/o 18 Marcus Clarke Street,Canberra,ACT,2601,Australia,,,,
B-002178,,Seafood Exporters Consultative Committee,"Agriculture, Fisheries and Forestry",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Seafood Export Consultative Committee (SECC) is the principal consultative forum for the Australian Government Department of Agriculture and Water Resources to consult with the seafood industry on technical and administrative matters in relation to the export of fish and fish products. SECC provides a forum for formal consultation between the department and the export seafood industry on matters such as export fees and changes, market access priorities and technical market access issues.",Principal Body / Management Board / Senior Executive Officer,,21/06/2005,,,,,,,,No,,,,"Department of Agriculture, Fisheries and Forestry",,,,18 Marcus Clarke Street,Canberra,ACT,2601,Australia,http://www.agriculture.gov.au/biosecurity/partnerships/consultative-committees/SECC,,,
B-002189,,Australian Meat Processor Corporation Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"The Australian Meat Processor Corporation (AMPC) is a research and development corporation for the red meat processing industry throughout Australia. AMPC's mandate is to support research, development and extension/education (RDandE) initiatives that are directed at improving the sustainability and efficiency of the meat processing industry. Red meat processor levies are strategically invested by AMPC in RDandE and marketing programmes aimed at delivering improvements to the processing sector and providing significant benefit to the whole of the red meat industry and the broader Australian community.",Act / Regulation,"Australian Meat and Live-Stock Industry Act 1997, s60(3AA) and s60(3AB)",22/04/1998,,,,,,,,"Yes, but not tabled",Other,Nexia Australia,67 082 373 448,"Department of Agriculture, Fisheries and Forestry",,,,"Suite 1, Level 5, 110 Walker St",North Sydney,NSW,2060,Australia,http://www.ampc.com.au,http://www.ampc.com.au/about-ampc/strategic-plans,http://www.ampc.com.au/about-ampc/corporate-publications/annual-reports,
B-002190,,Australian Pork Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Australian Pork Limited (APL) represents the coming together of three legacy organisations - Australian Pork Corporation; Pig Research and Development Corporation; and Pork Council of Australia. APL is a unique rural industry service body for the Australian pork industry. It is a producer-owned company delivering integrated services that enhance the viability of Australia's pig producers. The organisation aims to enhance opportunities for the sustainable growth of the Australian pork industry by delivering integrated marketing, innovation and policy services along the pork industry supply chain. APL pursues opportunities for the industry at both the domestic and international level. Funding for APL is primarily through statutory pig slaughter levies collected under the Primary Industries (Excise) Levies Act 1999 with additional research specific funds provided by the Australian Government.",Act / Regulation,"Pig Industry Act 2001, s11(1)",23/05/2000,,,,,,,,"Yes, but not tabled",Ernst & Young,,83 092 783 278,"Department of Agriculture, Fisheries and Forestry",,,,"Level 2, 2 Brisbane Avenue",BARTON,ACT,2600,Australia,http://australianpork.com.au/about-us/australian-pork-limited/,http://australianpork.com.au/library-resources/publications/strategic-plans/,http://australianpork.com.au/library-resources/publications/annual-reports/,
B-002191,,Australian Wool Innovation Limited,"Agriculture, Fisheries and Forestry",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"Australian Wool Innovation Limited (AWI) is a not-for-profit company owned by more than 25,000 Australian wool levy payers who have registered as AWI shareholders. The company has a statutory funding agreement under, which it receives industry levies and matching funds from the Australian Government. The company invests in research and development; marketing and promotion to enhance the profitability, international competitiveness and sustainability of the Australian wool industry; and to increase the demand and market access for Australian wool.",Act / Regulation,"Wool Services Privatisation Act 2000, s30(1)",30/04/2002,,,,,,,,"Yes, but not tabled",PricewaterhouseCoopers,,12 095 165 558,"Department of Agriculture, Fisheries and Forestry",,,,"Level 6, 68 Harrington Street",The Rocks,NSW,2000,Australia,http://www.wool.com/,http://www.wool.com/about-awi/how-we-consult/awi-business-cycle/,http://www.wool.com/about-awi/shareholder-information/annual-reports/,
B-003219,,Forestry and Forest Products Committee,"Agriculture, Fisheries and Forestry",B. Secondary,H. Inter Jurisdictional and International Bodies,,,"The Forestry and Forest Products Committee (FFPC) advises Forestry Ministers Meetings on measures focussed on promoting sustainability and industry development in Australia's forestry and forest product industries. Members are officials representing the Commonwealth, state, territory and NZ government agencies with responsibility for forestry policy.","Committee, Council, Board, Forum",Heads or senior representatives of State / Territory and Australian and New Zealand government's departments with responsibility for primary industries,1/12/2001,,,,,,,,,,,,"Department of Agriculture, Fisheries and Forestry",,,,18 Marcus Clarke St,Canberra,ACT,2600,Australia,,,,
B-003592,,"Seafarers Safety, Rehabilitation and Compensation Authority",Employment and Workplace Relations,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"Seafarers Safety, Rehabilitation and Compensation Authority - otherwise known as the Seacare Authority, comprises an independent Chairperson and Deputy Chairperson, the Chief Executive Officer of the Australian Maritime Safety Authority, two employer representatives and two employee representatives. The Seacare Authority oversees a scheme of occupational health and safety (OHS), rehabilitation and workers' compensation arrangements which applies to defined seafaring employees and, in relation to OHS, defined third parties.",PGPA Rule (Schedule 1),,15/06/1993,,,,7,Yes,Ministerial,,Yes,ANAO,,32 745 854 352,"Seafarers Safety, Rehabilitation and Compensation Authority",,,,121 Marcus Clarke St,CANBERRA,ACT,2601,Australia,http://www.seacare.gov.au/,http://www.seacare.gov.au/forms_and_publications/published_information/our_priorities/our_priorities/seacare_2015_five_year_plan,http://www.seacare.gov.au/forms_and_publications/published_information/reports_and_responses_to_parilament/seacare_annual_reports,
B-003485,,Safe Work Australia,Employment and Workplace Relations,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"Safe Work Australia is a tripartite body with the following members: - a Chair; - Members representing the Commonwealth and each state and territory; - Members representing the interests of workers; - Members representing the interests of employers, and - the Chief Executive Officer. Further information about Safe Work Australia Members can be found under the 'Our Members' page on our website. Safe Work Australia was established to lead policy development that improves work health and safety and workers' compensation arrangements across Australia. It performs its functions in accordance with strategic and operational plans agreed annually by Work Health and Safety Ministers. Safe Work Australia began operating as an independent Australian Government statutory agency on 1 November 2009. It is jointly funded by the Commonwealth, state and territory governments through an Intergovernmental Agreement. As a national policy body Safe Work Australia does not regulate work health and safety laws nor does it have responsibility for workers' compensation schemes. The Commonwealth, states and territories have responsibility for regulating and enforcing work health and safety laws and administering workers' compensation schemes in their jurisdiction.",Act / Regulation,Safe Work Australia Act 2008,1/07/2009,,,,15,No,Ministerial,,Yes,ANAO,,81 840 374 163,Safe Work Australia,,,,GPO Box 641,Canberra,ACT,2601,Australia,http://www.safeworkaustralia.gov.au,https://www.safeworkaustralia.gov.au/doc/safe-work-australia-corporate-plan-2022-2026,https://www.safeworkaustralia.gov.au/about-us/corporate-publications-and-resources/annual-report,https://www.safeworkaustralia.gov.au/access-information/budget
B-003708,,Registered Organisations Commission (ROC),Employment and Workplace Relations,B. Secondary,E. Statutory Office Holder Offices and Committees,,,The Registered Organisations Commission (ROC) monitors and educates registered organisations in Australia.,Act / Regulation,Fair Work (Registered Organisations) Act 2009,1/05/2017,,,,,,,,,,,,Fair Work Ombudsman and Registered Organisations Commission Entity,,,,"Level 4, 414 LaTrobe Street, Melbourne",,VIC,,Australia,www.roc.gov.au,,,
B-003484,,Fair Work Commission,Employment and Workplace Relations,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Fair Work Commission is Australia's national workplace relations tribunal. It is an independent body with the power to carry out a range of functions including: - Providing a safety new of minimum conditions, including minimum wages in awards; - Facilitating good faith bargaining and the making of enterprise agreements; - Granting remedies for unfair dismissal; - Regulating the taking of industrial action; and - Resolving a range of collective and individual workplace disputes.",Act / Regulation,Fair Work Act 2009,1/07/2009,,,,0,Yes,Governor-General in Council,,Yes,ANAO,,93 614 579 199,Fair Work Commission,,,,"Level 4, 11 Exhibition Street",Melbourne,VIC,3000,Australia,https://www.fwc.gov.au/,https://www.fwc.gov.au/about-us/operations/strategy-vision-future-directions,https://www.fwc.gov.au/about-us/reports-publications/annual-reports,https://www.fwc.gov.au/about-us/operations/budgets-expenditure
B-002324,,Asbestos Safety and Eradication Agency Council,Employment and Workplace Relations,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Asbestos Safety and Eradication Council (ASEC), provides advice to the Minister and to the CEO of the Asbestos Safety and Eradication Agency (ASEA) on the National Strategic Plan for Asbestos Management and Awareness. ASEC also supports the work of ASEA. Established on 1 July 2013, ASEC is made up of 10 members - a Chair and nine other members who have been selected for their experience and expertise with asbestos safety, public health, corporate governance or the representation of people with asbestos-related disease and their families. The members consist of: - a Chair - one member representing the Commonwealth - 4 members representing State, Territory and local governments - 1 member representing the interests of workers in Australia; - 1 member representing the interests of employers in Australia - 2 other members. Members are appointed by the Minister. The period of appointment must not be more than 3 years.",Act / Regulation,Asbestos Safety and Eradication Agency Act 2013,1/07/2013,,,,10,Yes,Ministerial,,Yes,ANAO,,50 802 255 175,Asbestos Safety and Eradication Agency,,,,"Level 8, 255 Elizabeth St",Sydney,NSW,2001,Australia,http://www.asbestossafety.gov.au,http://asbestossafety.gov.au/publications,,http://docs.employment.gov.au/node/34005
B-004283,,National Vocational Education and Training Regulator Advisory Council,Employment and Workplace Relations,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The National Vocation Education and Training Advisory Council (Advisory Council) supports the National VET Regulator and Chief Executive Officer of the Australian Skills Quality Authority (ASQA) by providing expert, strategic advice regarding the functions of the Regulator. The Advisory Council facilitates continuous improvement of ASQA?s governance practices and improves ASQA?s access to high-level ongoing expert advice, including in relation to ASQA?s strategic objectives and approach to regulation. Advisory Council members are appointed on the basis of their expertise and experience, as required under the National Vocational Education and Training Regulator Act 2011, in areas such as regulation, industry engagement, and education and training.",Act / Regulation,National Vocational Education and Training Regulator Act 2011,26/11/2020,,,,10,Yes,Ministerial,,No,,,,Australian Skills Quality Authority (National Vocational Education and Training Regulator),,,,"Level 6, 595 Collins Street",Melbourne,VIC,3000,Australia,https://www.asqa.gov.au/,,,
B-004281,,Australian Research Council Advisory Committee,Education,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The ARC Advisory Committee was established on 31 March 2022 as a designated Committee under the Australian Research Council Act 2001. The Committee and independent Chair are appointed by the Minister responsible for Education for up to three years. Members have broad expertise across research, industry, and governance. In supporting the Chief Executive Officer (CEO), the Committee will help guide the strategic direction of the ARC to ensure its programs achieve value and impact for Australia. The Committee supports the CEO in setting the ARC?s strategic agenda to deliver on the three broad objectives: - to grow knowledge and innovation for the benefit of the Australian community by funding the highest quality research - assessing the quality, engagement, and impact of research - providing advice on research matters.",Minister,,31/03/2022,,,,10,Yes,Ministerial,,"No, but noted in parent's annual report",ANAO,,,Australian Research Council,,,,11 Lancaster Place,Canberra Airport,ACT,2601,Australia,https://www.arc.gov.au/about-arc/arc-profile/arc-committees/arc-advisory-committee,,,
B-002314,,ANU (UK) Foundation,Education,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,Established in the UK to facilitate fund-raising foundation activities for the advancement of education.,Corporations Act 2001 / Company / Trust Deed / Partnership,,1/01/2007,,,,,,,,"No, but noted in parent's annual report",,,,Australian National University,,,,"C/O Chapel & York Limited Unit 12, Ladycross Business Park, Hollow Lane, Dormandlsand, Lingfield, Surrey, United Kingdom, RH7 6PB","London, EC4M 7EG",N/A,RH76PB,United Kingdom of Great Britain and Northern Ireland,http://philanthropy.anu.edu.au/endowment-for-excellence/foundations-of-the-anu-endowment-for-excellence/anu-uk-foundation/,,,
B-002315,,ANU Enterprise Pty Limited,Education,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,"Enabling ANU Researchers to generate and deliver consulting, contract research and executive education projects with industry and government through providing business development and project management support services.",Corporations Act 2001 / Company / Trust Deed / Partnership,,31/08/1979,,,,,,,,"No, but noted in parent's annual report",ANAO,,31 008 548 650,Australian National University,,,,2/121 Marcus Clarke Street,Canberra,ACT,2601,Australia,http://www.anuenterprise.com.au,,,
B-002316,,"ANU MTAA Super Venture Capital Partnership, LP",Education,C. Other,"J. Joint Ventures, Partnerships and Interests in Other Companies",,,"Provide investment in commercialisation, pre-seed and early stage private equity investment as part of the Motor Traders Association of Australia (MTAA) Super Venture Capital Partnership.",Corporations Act 2001 / Company / Trust Deed / Partnership,,2/02/2005,,,,0,,,,"No, but noted in parent's annual report",,,65 402 155 067,Australian National University,,,,121 Marcus Clark Street,Canberra,ACT,2601,Australia,,,,
B-002317,,ANU MTAA Super Venture Capital Pty Limited,Education,C. Other,"J. Joint Ventures, Partnerships and Interests in Other Companies",,,Provide governance and administration services to ANU Motor Traders Association of Australia (MTAA) Super Venture Capital Partnership.,Corporations Act 2001 / Company / Trust Deed / Partnership,,2/02/2005,,,,0,,,,"No, but noted in parent's annual report",,,17 112 749 854,Australian National University,,,,121 Marcus Clarke Street,Canberra,ACT,2601,Australia,,,,
B-004234,,ANU International Holdings Pty Ltd,Education,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,"Wholly owned subsidiary created to establish a future Wholly Foreign Owned Entity, for the purpose of providing services for the benefit of ANU.",Corporations Act 2001 / Company / Trust Deed / Partnership,,3/02/2021,,,,,,,,"No, but noted in parent's annual report",,,,Australian National University,,,,10C East Road,ACTON,ACT,2601,Australia,,,,
